market_id,ts,side,token_price,token_id,trade_signal,result_win,queue_ahead,filled,fill_fraction,filled_ts,pnl
1775563,1774872585,DOWN,0.014999999664723873,106184450120067960865357664459602993665410428680046598009251138568677304107118,True,False,0.0,0.0,0.0,,0.0
1776123,1774877014,DOWN,0.014999999664723873,94839661120104189222105887015975579692230812407526145731770587149067148201241,True,False,0.0,0.0,0.0,,0.0
1776764,1774880079,DOWN,0.014999999664723873,76073935389580320392750512039663387884051715429284351205510048083234516829106,True,False,0.0,0.0,0.0,,0.0
1776986,1774881518,UP,0.014999999664723873,78120547035576477622751865109414318393347058987115322830214667419470485011967,True,True,0.0,0.0,0.0,,0.0
1777224,1774883328,UP,0.014999999664723873,72767155962461133923310712699882997279565897274147500426978288136479300736561,True,False,11948.9,0.0,0.0,,0.0
1777349,1774884576,DOWN,0.014999999664723873,27242820069201844246329515884216122638169048220059189508739306198557778634918,True,False,0.0,0.0,0.0,,0.0
1784879,1774918125,DOWN,0.014999999664723873,34905550581351452991426977529453417766575505764896702400711982272335538400392,True,False,0.0,0.0,0.0,,0.0
1785288,1774919986,DOWN,0.014999999664723873,83042702801436044351218255577324402488325261451442366967224019468620129451049,True,False,0.0,0.0,0.0,,0.0
1785867,1774925673,DOWN,0.014999999664723873,27775609446326740671706142854082935059291693617053201868011345295663100508948,True,False,0.0,0.0,0.0,,0.0
1786292,1774929280,DOWN,0.014999999664723873,16665032039563345014609676951127523017995918614879875995512663680740174497471,True,True,0.0,0.0,0.0,,0.0
1790713,1774959226,UP,0.014999999664723873,5133909225190674946899070685956889819028204557843658143507066064221031126802,True,False,0.0,0.0,0.0,,0.0
1791930,1774967945,UP,0.014999999664723873,109140233073856529294174850591684570678595105462480224920266002882191065618602,True,False,0.0,0.0,0.0,,0.0
1793123,1774972728,UP,0.014999999664723873,9763875505071544495394020501695606444309218610629520666525821640536330982714,True,False,0.0,0.0,0.0,,0.0
1812210,1775086486,UP,0.014999999664723873,48628826613873168595898467975819868914781948979863207784216439516248289046226,True,True,0.0,0.0,0.0,,0.0
1813301,1775096386,DOWN,0.014999999664723873,35256867162612197589718774404615549638151503659969562747576597188433152292561,True,True,0.0,0.0,0.0,,0.0
1814011,1775103818,UP,0.014999999664723873,21866961337738101318324779450645659767370326727259278033181172560679784044850,True,False,0.0,0.0,0.0,,0.0
1815501,1775128719,DOWN,0.014999999664723873,30630672379803031650488428186463127529412218191547989500084617215978119824144,True,False,0.0,0.0,0.0,,0.0
1816078,1775140144,UP,0.014999999664723873,88583096202748129771027387645938681435364191038748690864430597740093095382074,True,True,0.0,0.0,0.0,,0.0
1818540,1775150312,DOWN,0.014999999664723873,77786955748396941336425028711344654717661893676345211626486586849360496483531,True,False,0.0,0.0,0.0,,0.0
1841318,1775284178,UP,0.014999999664723873,68155670117134329978654502217950165245788065863291153539931014066973869611974,True,True,0.0,0.0,0.0,,0.0
1848236,1775329488,DOWN,0.014499999582767487,56014490802279878631423048661785237714471217709093025403648863677683957521494,True,False,0.0,0.0,0.0,,0.0
1848446,1775330335,UP,0.014999999664723873,105135864840935032986193918066941038497631490850328590614359812079851161096104,True,False,0.0,0.0,0.0,,0.0
1850937,1775342980,UP,0.014999999664723873,43039462800169021909301394622953556706537415365407918466427066204606451295688,True,False,0.0,0.0,0.0,,0.0
1856069,1775366683,UP,0.014999999664723873,49445970821851291228962119326307740802236338418308381854425393337584337413123,True,True,0.0,0.0,0.0,,0.0
1857155,1775372642,DOWN,0.014999999664723873,61316197802494167984780420136282919926920384177868995704151672656870977888022,True,False,0.0,0.0,0.0,,0.0
1857507,1775374477,UP,0.014999999664723873,7894003587948525473381155168725985109028644518490802455390125877881473425077,True,False,0.0,0.0,0.0,,0.0
1869124,1775433828,DOWN,0.014999999664723873,46669601443497785051098377506015667231753407104612023458806473211087630355697,True,False,25902.53,0.0,0.0,,0.0
1870526,1775441377,UP,0.014999999664723873,79524234532808550477077051729647210358432589425203330753559348560191895830539,True,False,0.0,0.0,0.0,,0.0
